NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Start Date,Primary Completion Date,Completion Date
NCT04406623,Phase 1 Study of SL-172154 (SIRPα-Fc-CD40L) in Subjects With Ovarian Cancer,RECRUITING,Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Carcinoma,DRUG: SL-172154,"Shattuck Labs, Inc.",,INTERVENTIONAL,"June 29, 2020","June 29, 2020",July 2022
NCT05324423,"To Evaluate Drug Interactions Between XNW3009, Febuxostat, and Colchicine in Patients With Gout",RECRUITING,Gout,DRUG: Colchicine,The Affiliated Hospital of Qingdao University,,INTERVENTIONAL,"October 18, 2021","October 18, 2021","August 1, 2022"
NCT05429723,First-in-Human Study to Investigate the Safety and Tolerability and Pharmacokinetics of HS-10383,RECRUITING,Cough,DRUG: HS-10383|DRUG: HS-10383 Placebo,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",,INTERVENTIONAL,"March 1, 2022","March 1, 2022","June 30, 2022"
NCT03382184,Fractional Photothermolysis for Hair Follicle Induction,ACTIVE_NOT_RECRUITING,Alopecia,DEVICE: Fraxel Dual laser|DEVICE: Halo laser,"University of California, Irvine",Beckman Laser Institute,INTERVENTIONAL,"October 20, 2017","October 20, 2017",June 2022
NCT04353024,Effects of Dimethyltryptamine in Healthy Subjects,RECRUITING,Healthy,DRUG: Dimethyltryptamine (DMT)|DRUG: Saline,"University Hospital, Basel, Switzerland",,INTERVENTIONAL,"June 18, 2021","June 18, 2021","July 1, 2022"
NCT04093076,"Dose-ranging Study: Safety, Tolerability and Immunogenicity of INO-4500 in Healthy Volunteers in Ghana",ACTIVE_NOT_RECRUITING,Lassa Fever,DRUG: INO-4500|DEVICE: CELLECTRA™ 2000|DRUG: Placebo,Inovio Pharmaceuticals,Coalition for Epidemic Preparedness Innovations,INTERVENTIONAL,"January 27, 2021","January 27, 2021",September 2022
NCT03064074,Safety of Fresolimumab in the Treatment of Osteogenesis Imperfecta,COMPLETED,Osteogenesis Imperfecta,DRUG: Fresolimumab,Baylor College of Medicine,"Genzyme, a Sanofi Company|Oregon Health and Science University",INTERVENTIONAL,"November 15, 2017","November 15, 2017","July 4, 2022"
NCT01113476,"Nab-paclitaxel, Gemcitabine, and Bevacizumab in Advanced Malignancies",COMPLETED,Advanced Cancer,DRUG: Nab-paclitaxel|DRUG: Bevacizumab|DRUG: Gemcitabine,M.D. Anderson Cancer Center,,INTERVENTIONAL,"April 27, 2010","April 27, 2010","August 12, 2022"
NCT05497674,Effects of Rifampicin and Probenecid On The Pharmacokinetic Profile Of Rongliflozin In Healthy Subjects,COMPLETED,Type 2 Diabetes Mellitus,DRUG: Rongliflozin|DRUG: Rifampin|DRUG: Rongliflozin|DRUG: Probenecid,"Sunshine Lake Pharma Co., Ltd.",,INTERVENTIONAL,"February 21, 2022","February 21, 2022","July 20, 2022"
NCT05371574,Clonidine Versus Tranexamic Acid in Reduction of Blood Loss,RECRUITING,Blood Loss,DRUG: clonidine group,Uwakwe Emmanuel Chijioke,,INTERVENTIONAL,"January 3, 2022","January 3, 2022","August 3, 2022"
NCT03745144,Effects of Cladribine Tablets on the PK of Microgynon®,ACTIVE_NOT_RECRUITING,Relapsing Multiple Sclerosis (RMS),DRUG: Cladribine|DRUG: Placebo|DRUG: Microgynon®,"Merck KGaA, Darmstadt, Germany",,INTERVENTIONAL,"January 17, 2019","January 17, 2019","June 3, 2022"
NCT05409157,A Study to Evaluate the Drug Levels of BMS-986166 in Healthy Male Participants,NOT_YET_RECRUITING,Healthy Participants,DRUG: BMS-986166|DRUG: Bisacodyl,Bristol-Myers Squibb,,INTERVENTIONAL,"June 17, 2022","June 17, 2022","July 29, 2022"
NCT04741698,Propranolol for Protracted Labor,COMPLETED,Labour;Obstructed|Labor Dystocia,DRUG: Propranolol,Christiana Care Health Services,,INTERVENTIONAL,"July 27, 2021","July 27, 2021","June 11, 2022"
NCT04382157,Magnesium Replacement and Hyperglycemia After Kidney Transplantation,RECRUITING,Hypomagnesemia|Kidney Transplantation,DRUG: Mablet 360 mg|DRUG: Placebo,Oslo University Hospital,,INTERVENTIONAL,"February 25, 2020","February 25, 2020","August 31, 2022"
NCT04993157,Pharmacokinetics Study of FIA586 in Participants With Mild and Moderate Hepatic Impairment,COMPLETED,Hepatic Impairment,DRUG: FIA586,Novartis Pharmaceuticals,,INTERVENTIONAL,"December 10, 2021","December 10, 2021","June 28, 2022"
NCT04393311,Ulinastatin for the Treatment of COVID-19 in Hospitalized Patients,WITHDRAWN,COVID-19,DRUG: Ulinastatin|DRUG: Placebo,Stanford University,,INTERVENTIONAL,February 2022,February 2022,August 2022
NCT04861311,Testing the Efficacy of a Mindfulness- and Acceptance-Based Smartphone App for PTSD: A Randomized Controlled Trial,NOT_YET_RECRUITING,Posttraumatic Stress Disorder,BEHAVIORAL: Mindfulness/Acceptance-Based Smartphone App (MABSA) Intervention,"University of Nevada, Las Vegas",,INTERVENTIONAL,"January 1, 2022","January 1, 2022","June 30, 2022"
NCT04919954,Tebipenem (SPR994) Tissue Penetration in Diabetic Patients With Wound Infections and Healthy Volunteers Via In Vivo Microdialysis,ENROLLING_BY_INVITATION,Diabetes|Wound Infection|ABSSSI|Healthy Volunteers,DRUG: Tebipenem Pivoxil Hydrobromide,Hartford Hospital,Spero Therapeutics Inc,INTERVENTIONAL,"July 1, 2021","July 1, 2021",August 2022
NCT03565003,A First-in-Human Study of JAB-3068 (SHP2 Inhibitor) in Adult Patients With Advanced Solid Tumors in China,RECRUITING,Non-small Cell Lung Cancer|Head and Neck Cancer|Esophageal Cancer|Other Metastatic Solid Tumors,DRUG: JAB-3068,"Jacobio Pharmaceuticals Co., Ltd.",,INTERVENTIONAL,"November 20, 2018","November 20, 2018",July 2022
NCT04930354,ECP-1014 Treatment for Patients With Solid Tumor Cancers,NOT_YET_RECRUITING,Solid Tumor,DRUG: ECP-1014,"Euclises Pharmaceuticals, Inc.",,INTERVENTIONAL,August 2021,August 2021,June 2022
NCT04047303,"CNS Penetration, PK and PD of Preoperative CC-90010 in Progressive/Recurrent Diffuse Astrocytoma, Anaplastic Astrocytoma and Glioblastoma",ACTIVE_NOT_RECRUITING,Astrocytoma|Glioblastoma,DRUG: CC-90010,Celgene,,INTERVENTIONAL,"January 2, 2020","January 2, 2020","September 1, 2022"
NCT04715750,Evaluation of Imaging Characteristics of [18F]PI-2620 PET in AD and PSP Patients Using High and Low Specific Activity,RECRUITING,Alzheimer Disease|Progressive Supranuclear Palsy,DRUG: [18F]-PI2620,Life Molecular Imaging GmbH,Life Molecular Imaging SA,INTERVENTIONAL,"November 12, 2020","November 12, 2020",June 2022
NCT02643550,Study of Monalizumab and Cetuximab in Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,ACTIVE_NOT_RECRUITING,Head and Neck Neoplasms,BIOLOGICAL: Monalizumab|BIOLOGICAL: Cetuximab|BIOLOGICAL: Anti-PD(L)1,Innate Pharma,AstraZeneca,INTERVENTIONAL,December 2015,December 2015,September 2022
NCT04129775,OTO-413 in Subjects With Speech-in-Noise Hearing Impairment,ACTIVE_NOT_RECRUITING,Sensorineural Hearing Loss,DRUG: OTO-413|DRUG: Placebo,"Otonomy, Inc.",,INTERVENTIONAL,"October 1, 2019","October 1, 2019",June 2022
NCT04430959,Candesartan as an Adjunctive Treatment for Bipolar Depression,WITHDRAWN,Bipolar Disorder Depression,DRUG: Candesartan|DRUG: Placebo,"The University of Texas Health Science Center, Houston",,INTERVENTIONAL,"October 1, 2020","October 1, 2020","July 1, 2022"
NCT05003427,68Ga-FAPI-04 PET/CT for the Detection of Oral Carcinoma,RECRUITING,Oral Carcinoma,DRUG: 68Ga-FAPI-04,Peking Union Medical College Hospital,,INTERVENTIONAL,"April 1, 2021","April 1, 2021","July 1, 2022"
NCT05073627,The Effect of Dicloxacillin on Oral Absorption of Drugs,COMPLETED,Healthy Volunteers|Drug-drug Interaction,DRUG: Dicloxacillin,University of Southern Denmark,,INTERVENTIONAL,"February 7, 2022","February 7, 2022","June 22, 2022"
NCT05407779,"Study of the Pharmacodynamics, Pharmacokinetics, Safety, and Immunogenicity of Single Escalating Doses of BCD-180 in Healthy Volunteers",RECRUITING,Healthy,"BIOLOGICAL: BCD-180, dose 1|BIOLOGICAL: BCD-180, dose 2|BIOLOGICAL: BCD-180, dose 3|BIOLOGICAL: BCD-180, dose 4|BIOLOGICAL: BCD-180, dose 5|BIOLOGICAL: BCD-180, dose 6|BIOLOGICAL: BCD-180, dose 7",Biocad,,INTERVENTIONAL,"January 22, 2021","January 22, 2021",September 2022
NCT05327491,A Study in Healthy Volunteers to Compare the Pharmacokinetics of Sotorasib Administered as 1 or 2 Tablets,COMPLETED,Healthy Participants,DRUG: Sotorasib,Amgen,,INTERVENTIONAL,"April 18, 2022","April 18, 2022","July 17, 2022"
NCT05457491,Novel Antiaging Regenerative Skin Care Regimen Containing Human Platelet Extract (HPE),COMPLETED,Skin Aging,BIOLOGICAL: Human platelet extract (cosmetic product)|OTHER: Vanicream Gentle Facial Cleanser|OTHER: EltaMD UV Daily Broad-Spectrum SPF 40|OTHER: EltaMD PM Therapy Facial Moisturizer|OTHER: Vanicream Lite Lotion,Mayo Clinic,,INTERVENTIONAL,"October 1, 2021","October 1, 2021","July 7, 2022"
NCT05467709,Study To Evaluate The Effect Of Multiple Doses of CTP-543 On The Pharmacokinetics Of Single Doses of Midazolam In Healthy Subjects,COMPLETED,Health Volunteers,DRUG: Midazolam|DRUG: CTP-543,Concert Pharmaceuticals,,INTERVENTIONAL,"June 21, 2022","June 21, 2022","June 30, 2022"
NCT04691427,Effectiveness of Virtual Reality Vision Therapy - VERVE,ACTIVE_NOT_RECRUITING,Convergence Insufficiency,DEVICE: Virtual Eye Rotation Vision Exercises (VERVE),OculoMotor Technologies,New Jersey Institute of Technology|Salus University,INTERVENTIONAL,"October 14, 2021","October 14, 2021","July 28, 2022"
NCT04643808,taVNS Paired With Bottle Feeding in Infants Failing Oral Feeds,COMPLETED,Poor Feeding|Infant Development|Vagus Nerve Stimulation,DEVICE: transcutaneous auricular vagus nerve stimulation,Medical University of South Carolina,National Institute of General Medical Sciences (NIGMS)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),INTERVENTIONAL,"October 1, 2017","October 1, 2017","June 1, 2022"
NCT04930809,Single and Multiple Dose Study of VER-01 in Healthy Volunteers,COMPLETED,Healthy,DRUG: VER-01,Vertanical GmbH,,INTERVENTIONAL,"November 25, 2021","November 25, 2021","July 4, 2022"
NCT04444427,Evaluation of GLR2007 for Advanced Solid Tumors,ACTIVE_NOT_RECRUITING,Non-small Cell Lung Cancer|Glioblastoma Multiforme,DRUG: GLR2007,"Gan and Lee Pharmaceuticals, USA",,INTERVENTIONAL,"July 15, 2020","July 15, 2020",September 2022
NCT04999527,"Study to Evaluate the Safety, Tolerability, PK and PD of DISC-0974 in Healthy Subjects",COMPLETED,Healthy Volunteer,DRUG: DISC-0974|DRUG: Placebo,"Disc Medicine, Inc",,INTERVENTIONAL,"August 10, 2021","August 10, 2021","June 30, 2022"
NCT03833427,Study of Selumetinib (MK-5618) in Combination With Pembrolizumab (MK-3475) in Participants With Advanced/Metastatic Solid Tumors (MK-5618-001),COMPLETED,Advanced/Metastatic Solid Tumors,DRUG: Selumetinib|BIOLOGICAL: Pembrolizumab,Merck Sharp & Dohme LLC,,INTERVENTIONAL,"March 18, 2019","March 18, 2019","June 28, 2022"
NCT04855526,THC + CBD and Memory Study,NOT_YET_RECRUITING,Marijuana Use|Cannabis Use|Cannabis Intoxication,DRUG: High THC/No CBD Marihuana|DRUG: High THC/High CBD Marihuana|DRUG: No THC/No CBD Marihuana,Hartford Hospital,Yale University,INTERVENTIONAL,"April 1, 2022","April 1, 2022","June 30, 2022"
NCT05095337,Study to Evaluate the Mass Balance and Biotransformation of [14C]SHR1459 in Healthy Adult Male Volunteers,ACTIVE_NOT_RECRUITING,Healthy Adult Male Volunteers,DRUG: [14C]SHR1459,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL,"June 7, 2022","June 7, 2022","July 5, 2022"
NCT04536337,"A Study of ALG-000184 Drug to Evaluate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics After Single and Multiple Doses in Healthy Volunteers and CHB Subjects",RECRUITING,Chronic Hepatitis B,DRUG: ALG-000184|DRUG: Placebo,Aligos Therapeutics,,INTERVENTIONAL,"October 22, 2020","October 22, 2020","July 1, 2022"
NCT05166837,The Safety of STSA-1002 Following Intravenous Infusion in Healthy Subjects,RECRUITING,Healthy,DRUG: STSA-1002 injection|DRUG: Placebo|DRUG: STSA-1002 injection|DRUG: Placebo|DRUG: STSA-1002 injection|DRUG: Placebo|DRUG: STSA-1002 injection|DRUG: Placebo|DRUG: STSA-1002 injection|DRUG: Placebo,"Staidson (Beijing) Biopharmaceuticals Co., Ltd",,INTERVENTIONAL,"January 10, 2022","January 10, 2022",July 2022
NCT05147337,A Study to Assess the Safety and Tolerability of E2511 in Healthy Adult and Elderly Participants,COMPLETED,Healthy Volunteers,DRUG: E2511|DRUG: Placebo,Eisai Inc.,,INTERVENTIONAL,"December 1, 2021","December 1, 2021","August 18, 2022"
NCT03635437,Evaluation of Safety and Diabetes Status Upon Oral Treatment With GABA in Patients With Longstanding Type-1 Diabetes,RECRUITING,Type 1 Diabetes Mellitus,DRUG: Gamma-Aminobutyric Acid (GABA)|DRUG: Alprazolam,Per-Ola Carlsson,Diamyd Medical AB,INTERVENTIONAL,"September 5, 2018","September 5, 2018","August 30, 2022"
NCT03374007,Phase I Clinical Trial in Chinese Patients of Advanced and (or) Recurrent Solid Tumor/Lymphoma,RECRUITING,Advanced Solid Tumor|Recurrent Solid Tumor|Lymphoma|Recurrent Lymphocyte Depleted Classical Hodgkin Lymphoma,"BIOLOGICAL: Geptanolimab Injection 1mg/kg|BIOLOGICAL: Geptanolimab Injection 3mg/kg|BIOLOGICAL: Geptanolimab Injection 10mg/kg|BIOLOGICAL: Geptanolimab Injection 1mg/kg, q2w*6|BIOLOGICAL: Geptanolimab Injection 3mg/kg, q2w*6|BIOLOGICAL: Geptanolimab Injection 10mg/kg, , q2w*6|BIOLOGICAL: Geptanolimab Injection 280mg, q3w|BIOLOGICAL: Geptanolimab Injection 3mg/kg, q2w","Genor Biopharma Co., Ltd.",,INTERVENTIONAL,"October 19, 2017","October 19, 2017",June 2022
NCT05181683,COVID-19 Study Assessing the Safety and Tolerability of Co-Formulated Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies (Casirivimab+Imdevimab) in Adult Volunteers,COMPLETED,Healthy|Chronic Stable Illness,DRUG: Casirivimab+Imdevimab,Regeneron Pharmaceuticals,,INTERVENTIONAL,"January 7, 2022","January 7, 2022","June 3, 2022"
NCT04805983,"Evaluating the Safety, Tolerability, Pharmacokinetics and Receptor Occupancy of BMS-984923",ACTIVE_NOT_RECRUITING,Alzheimer Disease,DRUG: BMS-984923,Yale University,National Institute on Aging (NIA),INTERVENTIONAL,"March 25, 2021","March 25, 2021","September 1, 2022"
NCT04806737,Teriflunomide vs. Placebo During Gluten Challenge in Celiac Disease,RECRUITING,Celiac Disease,DRUG: Teriflunomide Oral Tablet,Oslo University Hospital,,INTERVENTIONAL,"April 16, 2021","April 16, 2021","August 15, 2022"
NCT04243837,LYT-100 in Healthy Volunteers and BCRL,RECRUITING,Breast Cancer Related Lymphoedema|Lymphoedema,DRUG: LYT-100|OTHER: Matching Placebo|DRUG: LYT-100 Food Effect|DRUG: LYT-100 BCRL|DRUG: Placebo BCRL,PureTech,Novotech (Australia) Pty Limited,INTERVENTIONAL,"March 1, 2020","March 1, 2020",June 2022
NCT02549937,"A Multi-Center, Open-Label Study of Surufatinib (HMPL-012) in Patients With Advanced Solid Tumors",COMPLETED,Tumors,DRUG: surufatinib,Hutchison Medipharma Limited,,INTERVENTIONAL,November 2015,November 2015,"June 7, 2022"
NCT04596033,"TiTAN-1: Safety, Proliferation and Persistence of GEN-011 Autologous Cell Therapy",TERMINATED,Melanoma|Non-small Cell Lung Cancer|Squamous Cell Carcinoma of Head and Neck|Urothelial Carcinoma|Renal Cell Carcinoma|Small-cell Lung Cancer|Cutaneous Squamous Cell Carcinoma|Anal Squamous Cell Carcinoma|Merkel Cell Carcinoma,BIOLOGICAL: GEN-011|DRUG: IL-2|DRUG: Fludarabine|DRUG: Cyclophosphamide,"Genocea Biosciences, Inc.",,INTERVENTIONAL,"November 11, 2020","November 11, 2020","June 27, 2022"
NCT05032833,Single Ascending Dose Study With 5-MeO-DMT in Healthy Subjects,RECRUITING,Pharmacokinetics in Healthy Adults,DRUG: 5-MeO-DMT|OTHER: Placebo,Beckley Psytech Limited,,INTERVENTIONAL,"September 22, 2021","September 22, 2021",July 2022
NCT05336071,The Relative Bioavailability of INS068 Injection With Two Different Formulations in Healthy Subjects,ACTIVE_NOT_RECRUITING,Diabetes Mellitus,DRUG: INS068 injection|DRUG: INS068 injection,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL,"May 12, 2022","May 12, 2022","June 15, 2022"
NCT05293171,Study to Investigate the Effect of BL-8040 (Motixafortide) on the QTc Interval in Healthy Subjects,ACTIVE_NOT_RECRUITING,Healthy Subjects,DRUG: 1.25 mg/kg BL-8040 + BL-8040-matching placebo|DRUG: 2 mg/kg BL-8040|DRUG: BL-8040-matching placebo|DRUG: 400 mg Moxifloxacin (1x400 mg tablet),"BioLineRx, Ltd.",Celerion,INTERVENTIONAL,"June 11, 2021","June 11, 2021",June 2022
NCT02892071,Tri-split Face Study of Skin Resurfacing Modalities for the Treatment of Melasma,WITHDRAWN,Melasma,DRUG: 22% TCA peel|DEVICE: CO2 laser|DEVICE: Qs-NdYag laser,SUZAN OBAGI,,INTERVENTIONAL,December 2020,December 2020,September 2022
NCT03695939,"Evaluation of Safety, Tolerability and Efficacy of Xeno-Skin® for Temporary Closure of Severe Burn Wounds",COMPLETED,Deep Full-thickness Burn Injury (Disorder),BIOLOGICAL: Xeno-Skin™|BIOLOGICAL: Human Cadaver Allograft,"XenoTherapeutics, Inc.","Massachusetts General Hospital|Joseph M. Still Research Foundation, Inc.",INTERVENTIONAL,"March 15, 2019","March 15, 2019","June 6, 2022"
NCT04966871,"Safety, Tolerability and Efficacy of PfSPZ Vaccine Against Heterologous CHMI in US Malaria naïve Adults",COMPLETED,Malaria,BIOLOGICAL: PfSPZ Vaccine|BIOLOGICAL: PfSPZ Challenge (7G8) for CHMI|OTHER: Normal Saline,Sanaria Inc.,Fred Hutchinson Cancer Center,INTERVENTIONAL,"September 27, 2021","September 27, 2021","June 21, 2022"
NCT03822871,A Trial of CTT1403 for Metastatic Castration Resistant Prostate Cancer,ACTIVE_NOT_RECRUITING,Prostate Cancer,DRUG: CTT1403|DRUG: CTT1057|DRUG: 68Ga-PSMA-11,Cancer Targeted Technology,"University of California, San Francisco",INTERVENTIONAL,"April 1, 2019","April 1, 2019","June 1, 2022"
NCT02580539,A Study of the Safety and Efficacy of EBV Specific T-cell Lines,RECRUITING,Epstein-Barr Virus Infections|Post-Transplant Lymphoproliferative Disorder|Lymphoma,BIOLOGICAL: Group A|BIOLOGICAL: Group B,"Dr. Jean-Sebastien Delisle, MD, PhD",,INTERVENTIONAL,November 2015,November 2015,August 2022
NCT04123626,A Study to Evaluate the Safety and Tolerability of QR-1123 in Subjects With Autosomal Dominant Retinitis Pigmentosa Due to the P23H Mutation in the RHO Gene,ACTIVE_NOT_RECRUITING,"Autosomal Dominant Retinitis Pigmentosa|Eye Diseases|Eye Diseases, Hereditary|Retinal Dystrophies|Retinal Disease|Retinitis|Vision Tunnel|Vision Disorders",DRUG: QR-1123|OTHER: Sham procedure,ProQR Therapeutics,,INTERVENTIONAL,"October 7, 2019","October 7, 2019","June 7, 2022"
NCT04135352,A Study of Intratumoral/Intralesional Administration of V938 in Combination With Pembrolizumab (MK-3475) in Participants With Advanced/Metastatic or Recurrent Malignancies (V938-001),COMPLETED,Neoplasm Metastasis,DRUG: 200 mg of pembrolizumab|BIOLOGICAL: V938,Merck Sharp & Dohme LLC,,INTERVENTIONAL,"November 4, 2019","November 4, 2019","August 24, 2022"
NCT03919526,Anti-CD19/CD22 Bispecific CAR-T Cell Therapy for MRD Positive ALL,RECRUITING,MRD-positive|Acute Lymphoblastic Leukemia,BIOLOGICAL: anti-CD19/CD22 CAR-T cells|DRUG: Fludarabine|DRUG: Cyclophosphamide,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",,INTERVENTIONAL,"August 11, 2019","August 11, 2019","August 1, 2022"
NCT00954226,Standard-Dose or High-Dose Erlotinib Hydrochloride Before Surgery in Treating Patients With Head and Neck Cancer,ACTIVE_NOT_RECRUITING,Recurrent Head and Neck Carcinoma|Recurrent Salivary Gland Carcinoma|Recurrent Skin Carcinoma|Skin Squamous Cell Carcinoma,DRUG: Erlotinib Hydrochloride|OTHER: Laboratory Biomarker Analysis,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"August 5, 2009","August 5, 2009","August 31, 2022"
NCT03136497,A Study of ABT-199 Plus Ibrutinib and Rituximab in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma,ACTIVE_NOT_RECRUITING,Relapsed Diffuse Large B-Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma,DRUG: ABT-199|DRUG: Ibrutinib|DRUG: Rituximab,Hackensack Meridian Health,"Janssen Scientific Affairs, LLC|Genentech, Inc.",INTERVENTIONAL,"September 5, 2017","September 5, 2017",September 2022
NCT05230797,Zincoxide-propolis vs Zincoxide-eugenol Pulpectomy,NOT_YET_RECRUITING,Pulp Necroses,DRUG: Zinc oxide Propolis|DRUG: Zinc Oxide-Eugenol Cement,Cairo University,,INTERVENTIONAL,April 2022,April 2022,August 2022
NCT04839367,Positron Emission Tomography (PET) Imaging of Participants With Confirmed Prostate Cancer Using 64Cu-SAR-bisPSMA (PROPELLER),ACTIVE_NOT_RECRUITING,Prostatic Neoplasms,DRUG: 64Cu-SAR-bisPSMA,Clarity Pharmaceuticals Ltd,,INTERVENTIONAL,"July 13, 2021","July 13, 2021",August 2022
NCT04886167,Dysport Dose-Ranging Treatment of Platysmal Bands,RECRUITING,Platysma Bands,DRUG: AbobotulinumtoxinA,Clinical Testing of Beverly Hills,Galderma R&D,INTERVENTIONAL,"May 30, 2021","May 30, 2021","June 1, 2022"
NCT02680067,NIR Fluorescence Imaging of Lymphatic Transport Using ICG,ACTIVE_NOT_RECRUITING,Rheumatoid Arthritis,DRUG: Indocyanine Green|DEVICE: MultiSpectral Imaging System,University of Rochester,National Institutes of Health (NIH)|National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),INTERVENTIONAL,"December 8, 2015","December 8, 2015",July 2022
NCT05026567,Bioavailability Study of Midazolam Administered as a Solution by Conventional Syringe or ZENEO®,COMPLETED,Healthy,DRUG: 2 ml of DORMICUM® Midazolam Hydrochloride (15 mg/3 mL)|COMBINATION_PRODUCT: ZENEO® Midazolam (10 mg/0.625 mL) on bare skin in thigh|COMBINATION_PRODUCT: ZENEO® Midazolam (10 mg / 0.625 mL) on bare skin in ventrogluteal area|COMBINATION_PRODUCT: ZENEO® Midazolam (10 mg / 0.625 mL) through clothing in thigh,Crossject,,INTERVENTIONAL,"May 9, 2022","May 9, 2022","July 14, 2022"
NCT01946867,NBTXR3 and Radiation Therapy in Treating Patients With Locally Advanced SCC of the Oral Cavity or Oropharynx,RECRUITING,Head and Neck Cancer,DEVICE: NBTXR3 activated by IMRT,Nanobiotix,,INTERVENTIONAL,"January 3, 2014","January 3, 2014",September 2022
NCT04509167,Pilot Study of Neoantigen Peptides for the Treatment of Neoplasms,COMPLETED,Neoplasms,BIOLOGICAL: Neoantigen Peptides,Instituto de Medicina Regenerativa,,INTERVENTIONAL,"August 10, 2020","August 10, 2020","June 24, 2022"
NCT05407467,KurCoSmart Effects on People With Type 2 DM,NOT_YET_RECRUITING,"Diabetes Mellitus, Type 2|Insulin Resistance|Inflammation|Body Weight",DIETARY_SUPPLEMENT: Curcumin and virgin coconut oil extract (KurCo Smart),Universitas Sebelas Maret,,INTERVENTIONAL,June 2022,June 2022,August 2022
NCT01855685,Gene Therapy for X-linked Chronic Granulomatous Disease (X-CGD),ACTIVE_NOT_RECRUITING,X-Linked Chronic Granulomatous Disease,GENETIC: X vivo gene therapy,Genethon,,INTERVENTIONAL,"June 24, 2013","June 24, 2013",September 2022
NCT04998487,A Single-Dose Study of LY3471851 in Healthy Participants,COMPLETED,Healthy,DRUG: LY3471851,Eli Lilly and Company,,INTERVENTIONAL,"August 16, 2021","August 16, 2021","July 6, 2022"
NCT02035085,19F Hot Spot MRI of Human Adipose-derived Stem Cells for Breast Reconstruction,WITHDRAWN,Breast Cancer,DRUG: CS-1000 labeled SVF cells,Johns Hopkins University,Cosmeticsurg.net,INTERVENTIONAL,June 2014,June 2014,June 2022
NCT02415387,Typhoid Vaccine in Testing Response to Immune Stress in Patients With Stage I-IIIA Breast Cancer,ACTIVE_NOT_RECRUITING,Cognitive Side Effects of Cancer Therapy|Depression|Recurrent Breast Carcinoma|Stage IA Breast Cancer|Stage IB Breast Cancer|Stage IIA Breast Cancer|Stage IIB Breast Cancer|Stage IIIA Breast Cancer,BIOLOGICAL: typhoid vaccine|OTHER: Placebo,Ohio State University Comprehensive Cancer Center,,INTERVENTIONAL,"January 1, 2014","January 1, 2014","September 1, 2022"
NCT04390685,Prevention of Breast Cancer-related Lymphedma With Tacrolimus,ACTIVE_NOT_RECRUITING,Lymphedema,DRUG: Tacrolimus ointment,Odense University Hospital,,INTERVENTIONAL,"February 26, 2020","February 26, 2020",September 2022
NCT05233085,A Safety Study of AZD4041 in Healthy Volunteers,COMPLETED,Opioid Use Disorder (OUD),DRUG: AZD4041|OTHER: Placebo,AstraZeneca,"Altasciences Company, Inc.",INTERVENTIONAL,"December 17, 2021","December 17, 2021","June 7, 2022"
NCT05459285,A Pharmacokinetic Study Comparing the 14028 Injection and TRULICITY® in Healthy Chinese Subjects,COMPLETED,Type 2 Diabetes,BIOLOGICAL: 14028 injection|BIOLOGICAL: dulaglutide injection,"Sunshine Lake Pharma Co., Ltd.",,INTERVENTIONAL,"May 31, 2022","May 31, 2022","July 2, 2022"
NCT03548207,"A Study of JNJ-68284528, a Chimeric Antigen Receptor T Cell (CAR-T) Therapy Directed Against B-Cell Maturation Antigen (BCMA) in Participants With Relapsed or Refractory Multiple Myeloma",COMPLETED,Multiple Myeloma,BIOLOGICAL: JNJ-68284528,"Janssen Research & Development, LLC",,INTERVENTIONAL,"June 29, 2018","June 29, 2018","August 23, 2022"
NCT02902107,Intraoperative Radiation Therapy for Locally Advanced or Recurrent Abdomino-pelvic Solid Tumors With the CivaSheet,ACTIVE_NOT_RECRUITING,Abdominal Malignancy|Pelvic Malignancy,DEVICE: CivaSheet|RADIATION: Brachytherapy|PROCEDURE: surgical resection,Memorial Sloan Kettering Cancer Center,CivaTech Oncology,INTERVENTIONAL,September 2016,September 2016,September 2022
NCT05105607,"A Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of D-4517.2 After Subcutaneous Administration in Healthy Participants",RECRUITING,Neovascular Age-related Macular Degeneration|Diabetic Macular Edema,DRUG: D-4517.2,"Ashvattha Therapeutics, Inc.",,INTERVENTIONAL,"January 11, 2022","January 11, 2022",August 2022
NCT04686383,"Safety, Tolerability, and Pharmacokinetics of CAL056 Mesylate in Patients With Resistant or Refractory Solid Tumors",RECRUITING,Resistant or Refractory Solid Tumors,DRUG: CAL056 mesylate,"Calgent Biotechnology Co., Ltd",,INTERVENTIONAL,"December 29, 2020","December 29, 2020",September 2022
